instance,algorithm,variant,cost,time,nodes,edges
grid_small_0,Greedy_k_CPP,k-CPP,79.94194373836177,2.8848648071289062e-05,20,31
grid_small_1,Greedy_k_CPP,k-CPP,91.59889985608346,2.5033950805664062e-05,20,31
grid_small_2,Greedy_k_CPP,k-CPP,95.52288823518242,2.6941299438476562e-05,20,31
grid_small_3,Greedy_k_CPP,k-CPP,85.45651562810187,2.2172927856445312e-05,20,31
grid_small_4,Greedy_k_CPP,k-CPP,76.49159916561423,2.5987625122070312e-05,20,31
grid_small_5,Greedy_k_CPP,k-CPP,89.51777321493212,2.193450927734375e-05,20,31
grid_small_6,Greedy_k_CPP,k-CPP,80.28771406311199,3.0994415283203125e-05,20,31
random_small_7,Greedy_k_CPP,k-CPP,344.90744072182326,5.507469177246094e-05,25,83
random_small_8,Greedy_k_CPP,k-CPP,310.81273079869123,6.67572021484375e-05,25,89
random_small_9,Greedy_k_CPP,k-CPP,290.07329910566614,6.723403930664062e-05,25,78
random_small_10,Greedy_k_CPP,k-CPP,361.34980270457754,7.605552673339844e-05,25,90
random_small_11,Greedy_k_CPP,k-CPP,337.86749118841806,5.602836608886719e-05,25,83
random_small_12,Greedy_k_CPP,k-CPP,351.0682004411014,6.008148193359375e-05,25,98
random_small_13,Greedy_k_CPP,k-CPP,334.9333792766536,5.507469177246094e-05,25,83
grid_medium_0,Greedy_k_CPP,k-CPP,295.7805019506535,7.319450378417969e-05,56,97
grid_medium_1,Greedy_k_CPP,k-CPP,244.09900872072095,7.772445678710938e-05,56,97
grid_medium_2,Greedy_k_CPP,k-CPP,279.3530431291774,7.390975952148438e-05,56,97
grid_medium_3,Greedy_k_CPP,k-CPP,283.4728538132604,7.605552673339844e-05,56,97
grid_medium_4,Greedy_k_CPP,k-CPP,253.76731488074284,7.319450378417969e-05,56,97
random_medium_5,Greedy_k_CPP,k-CPP,1689.6582603582538,0.00021195411682128906,60,429
random_medium_6,Greedy_k_CPP,k-CPP,1829.981431642997,0.00024700164794921875,60,474
random_medium_7,Greedy_k_CPP,k-CPP,1599.8755103528736,0.00020694732666015625,60,408
random_medium_8,Greedy_k_CPP,k-CPP,1836.5453680689975,0.00022673606872558594,60,450
random_medium_9,Greedy_k_CPP,k-CPP,1716.7278737882436,0.00022292137145996094,60,437
clustered_medium_12,Greedy_k_CPP,k-CPP,277.41669420421334,0.00011110305786132812,48,180
