instance,algorithm,variant,cost,time,nodes,edges,source_file
grid_medium_4,Classical_CPP,CPP,605.7803536641401,0.0001027584075927,56,97,simple_classical_results.csv
grid_medium_4,Capacity_Heuristic,CPP-LC,4119.306404916153,0.0001630783081054,56,97,simple_classical_results.csv
grid_medium_4,Greedy_k_CPP,k-CPP,260.4380846652252,4.315376281738281e-05,56,97,simple_classical_results.csv
grid_medium_1,Classical_CPP,CPP,579.1714158498869,7.390975952148438e-05,56,97,simple_classical_results.csv
grid_medium_1,Capacity_Heuristic,CPP-LC,3938.365627779232,0.000115156173706,56,97,simple_classical_results.csv
grid_medium_1,Greedy_k_CPP,k-CPP,243.75230456462404,4.1961669921875e-05,56,97,simple_classical_results.csv
random_small_10,Classical_CPP,CPP,852.2593591026501,5.412101745605469e-05,25,90,simple_classical_results.csv
random_small_10,Capacity_Heuristic,CPP-LC,3749.941180051661,8.916854858398438e-05,25,90,simple_classical_results.csv
random_small_10,Greedy_k_CPP,k-CPP,371.499399038908,3.409385681152344e-05,25,90,simple_classical_results.csv
random_medium_7,Classical_CPP,CPP,4152.4681768682485,0.0001792907714843,60,408,simple_classical_results.csv
random_medium_7,Capacity_Heuristic,CPP-LC,70591.95900676023,0.0003111362457275,60,408,simple_classical_results.csv
random_medium_7,Greedy_k_CPP,k-CPP,1633.0096480802702,0.0001430511474609,60,408,simple_classical_results.csv
random_medium_6,Classical_CPP,CPP,4618.8627952468,0.0001993179321289,60,474,simple_classical_results.csv
random_medium_6,Capacity_Heuristic,CPP-LC,92377.255904936,0.0003788471221923,60,474,simple_classical_results.csv
random_medium_6,Greedy_k_CPP,k-CPP,1824.3559560732936,0.0013239383697509,60,474,simple_classical_results.csv
random_small_11,Classical_CPP,CPP,780.534822985094,6.031990051269531e-05,25,83,simple_classical_results.csv
random_small_11,Capacity_Heuristic,CPP-LC,3278.246256537395,8.606910705566406e-05,25,83,simple_classical_results.csv
random_small_11,Greedy_k_CPP,k-CPP,347.83373729585,3.314018249511719e-05,25,83,simple_classical_results.csv
grid_medium_0,Classical_CPP,CPP,703.8619892138612,6.985664367675781e-05,56,97,simple_classical_results.csv
grid_medium_0,Capacity_Heuristic,CPP-LC,4786.261526654256,0.0001111030578613,56,97,simple_classical_results.csv
grid_medium_0,Greedy_k_CPP,k-CPP,296.3712767088004,3.886222839355469e-05,56,97,simple_classical_results.csv
random_small_13,Classical_CPP,CPP,849.12552409528,5.364418029785156e-05,25,83,simple_classical_results.csv
random_small_13,Capacity_Heuristic,CPP-LC,3736.152306019232,8.296966552734375e-05,25,83,simple_classical_results.csv
random_small_13,Greedy_k_CPP,k-CPP,355.6867637937033,3.0994415283203125e-05,25,83,simple_classical_results.csv
grid_medium_2,Classical_CPP,CPP,667.7568438450957,6.508827209472656e-05,56,97,simple_classical_results.csv
grid_medium_2,Capacity_Heuristic,CPP-LC,4540.746538146651,0.0001120567321777,56,97,simple_classical_results.csv
grid_medium_2,Greedy_k_CPP,k-CPP,285.77922497553845,3.933906555175781e-05,56,97,simple_classical_results.csv
random_medium_5,Classical_CPP,CPP,4274.778963243547,0.0001869201660156,60,429,simple_classical_results.csv
random_medium_5,Capacity_Heuristic,CPP-LC,76946.02133838384,0.0003108978271484,60,429,simple_classical_results.csv
random_medium_5,Greedy_k_CPP,k-CPP,1699.2379079364464,0.0001358985900878,60,429,simple_classical_results.csv
grid_medium_3,Classical_CPP,CPP,674.7502545714073,6.508827209472656e-05,56,97,simple_classical_results.csv
grid_medium_3,Capacity_Heuristic,CPP-LC,4588.301731085569,0.0002050399780273,56,97,simple_classical_results.csv
grid_medium_3,Greedy_k_CPP,k-CPP,296.60467196018874,4.38690185546875e-05,56,97,simple_classical_results.csv
random_small_12,Classical_CPP,CPP,891.05380278781,6.222724914550781e-05,25,98,simple_classical_results.csv
random_small_12,Capacity_Heuristic,CPP-LC,4455.26901393905,9.489059448242188e-05,25,98,simple_classical_results.csv
random_small_12,Greedy_k_CPP,k-CPP,372.57170546865234,3.695487976074219e-05,25,98,simple_classical_results.csv
random_small_9,Classical_CPP,CPP,758.4041550964887,8.20159912109375e-05,25,78,simple_classical_results.csv
random_small_9,Capacity_Heuristic,CPP-LC,3185.297451405253,8.96453857421875e-05,25,78,simple_classical_results.csv
random_small_9,Greedy_k_CPP,k-CPP,310.7090771684668,3.1948089599609375e-05,25,78,simple_classical_results.csv
random_small_8,Classical_CPP,CPP,789.5196100580957,7.700920104980469e-05,25,89,simple_classical_results.csv
random_small_8,Capacity_Heuristic,CPP-LC,3631.79020626724,9.012222290039062e-05,25,89,simple_classical_results.csv
random_small_8,Greedy_k_CPP,k-CPP,322.8412960319794,3.2901763916015625e-05,25,89,simple_classical_results.csv
random_small_7,Classical_CPP,CPP,869.1926724843926,5.292892456054688e-05,25,83,simple_classical_results.csv
random_small_7,Capacity_Heuristic,CPP-LC,3824.447758931328,8.678436279296875e-05,25,83,simple_classical_results.csv
random_small_7,Greedy_k_CPP,k-CPP,364.4893322417738,3.1948089599609375e-05,25,83,simple_classical_results.csv
clustered_medium_12,Classical_CPP,CPP,687.7304499666786,9.608268737792967e-05,48,180,simple_classical_results.csv
clustered_medium_12,Capacity_Heuristic,CPP-LC,4401.474879786743,0.0001659393310546,48,180,simple_classical_results.csv
clustered_medium_12,Greedy_k_CPP,k-CPP,285.3216177608722,7.486343383789062e-05,48,180,simple_classical_results.csv
random_medium_8,Classical_CPP,CPP,4456.880047865579,0.0001962184906005,60,450,simple_classical_results.csv
random_medium_8,Capacity_Heuristic,CPP-LC,82897.96889029979,0.0003490447998046,60,450,simple_classical_results.csv
random_medium_8,Greedy_k_CPP,k-CPP,1856.8699630081255,0.0001771450042724,60,450,simple_classical_results.csv
random_medium_9,Classical_CPP,CPP,4169.861352255932,0.0002639293670654,60,437,simple_classical_results.csv
random_medium_9,Capacity_Heuristic,CPP-LC,76725.44888150915,0.0003540515899658,60,437,simple_classical_results.csv
random_medium_9,Greedy_k_CPP,k-CPP,1723.6387756439658,0.0001490116119384,60,437,simple_classical_results.csv
grid_small_6,Classical_CPP,CPP,195.6376929262031,2.8848648071289062e-05,20,31,simple_classical_results.csv
grid_small_6,Capacity_Heuristic,CPP-LC,508.6580016081281,4.1961669921875e-05,20,31,simple_classical_results.csv
grid_small_6,Greedy_k_CPP,k-CPP,79.47915652792034,1.4066696166992188e-05,20,31,simple_classical_results.csv
grid_small_4,Classical_CPP,CPP,183.3627085118853,2.694129943847656e-05,20,31,simple_classical_results.csv
grid_small_4,Capacity_Heuristic,CPP-LC,513.4155838332788,4.00543212890625e-05,20,31,simple_classical_results.csv
