instance,algorithm,variant,cost,nodes,edges
grid_small_0,Classical_CPP,CPP,171.27758829430422,20,31
grid_small_1,Classical_CPP,CPP,199.83054018578966,20,31
grid_small_2,Classical_CPP,CPP,202.96894131132106,20,31
grid_small_3,Classical_CPP,CPP,208.98597326402168,20,31
grid_small_4,Classical_CPP,CPP,228.67024437484764,20,31
random_small_0,Classical_CPP,CPP,183.78315190585576,29,82
random_small_1,Classical_CPP,CPP,168.81224582219886,29,75
random_small_2,Classical_CPP,CPP,194.7856205960274,28,83
random_small_3,Classical_CPP,CPP,149.06904377707593,24,72
random_small_4,Classical_CPP,CPP,141.6804263954238,20,59
clustered_small_0,Classical_CPP,CPP,196.69567079794552,20,32
clustered_small_1,Classical_CPP,CPP,229.87734857853292,20,40
clustered_small_2,Classical_CPP,CPP,128.67463803788286,20,34
grid_medium_0,Classical_CPP,CPP,589.3253103509093,56,97
grid_medium_1,Classical_CPP,CPP,567.1520128076523,56,97
grid_medium_2,Classical_CPP,CPP,586.4189917935739,56,97
grid_medium_3,Classical_CPP,CPP,615.9791241995413,56,97
grid_medium_4,Classical_CPP,CPP,608.8147519294846,56,97
random_medium_0,Classical_CPP,CPP,1818.3440256680576,95,943
random_medium_1,Classical_CPP,CPP,632.2980503573425,56,329
random_medium_2,Classical_CPP,CPP,1020.4192172431887,67,519
random_medium_3,Classical_CPP,CPP,1315.1155213027118,78,681
random_medium_4,Classical_CPP,CPP,589.383600236182,56,295
clustered_medium_0,Classical_CPP,CPP,546.6636184662422,50,144
clustered_medium_1,Classical_CPP,CPP,590.191968270623,50,141
clustered_medium_2,Classical_CPP,CPP,635.1027985470847,50,147
grid_large_0,Classical_CPP,CPP,1351.040712774661,120,218
grid_large_1,Classical_CPP,CPP,1296.3639825778173,120,218
grid_large_2,Classical_CPP,CPP,1226.4323613802646,120,218
grid_large_3,Classical_CPP,CPP,1327.621984090969,120,218
grid_large_4,Classical_CPP,CPP,1244.381281896371,120,218
random_large_0,Classical_CPP,CPP,12521.8948919606,245,6455
random_large_1,Classical_CPP,CPP,6223.083562190898,171,3228
random_large_2,Classical_CPP,CPP,17801.370035299424,292,9261
random_large_3,Classical_CPP,CPP,12647.776748239612,252,6637
random_large_4,Classical_CPP,CPP,13055.305967904786,254,6764
clustered_large_0,Classical_CPP,CPP,1575.44360791039,105,447
clustered_large_1,Classical_CPP,CPP,1595.9542368802136,105,455
clustered_large_2,Classical_CPP,CPP,1515.7369285982481,105,422
