instance,cost_function,cost,classical_cost,increase_percent,time,capacity_ratio
grid_small_0,linear,362.19796410791906,175.17033007871422,106.76901387647237,0.005116939544677734,0.4000000000000001
grid_small_0,quadratic,375.75314052176566,175.17033007871422,114.50729718492734,0.004748106002807617,0.4000000000000001
grid_small_0,fuel,70452.70810890482,175.17033007871422,40119.54407304382,0.004967927932739258,0.4000000000000001
grid_small_1,linear,434.1250393192336,208.14098102573817,108.57259208629888,0.0042498111724853516,0.4
grid_small_1,quadratic,446.2898735925861,208.14098102573817,114.41710872756916,0.004542827606201172,0.4
grid_small_1,fuel,76210.86216522753,208.14098102573817,36515.02016068787,0.004665851593017578,0.4
grid_small_2,linear,438.5294934372364,201.45751747698486,117.67839638316569,0.005010128021240234,0.4
grid_small_2,quadratic,457.9485278511137,201.45751747698486,127.31766656631768,0.004936933517456055,0.4
grid_small_2,fuel,70698.21776887173,201.45751747698486,34993.362935413184,0.004876136779785156,0.4
grid_small_3,linear,458.0133658919157,214.00365313086022,114.02128383848056,0.004601716995239258,0.39999999999999997
grid_small_3,quadratic,472.8097524593725,214.00365313086022,120.93536514082588,0.004930734634399414,0.39999999999999997
grid_small_3,fuel,73264.35772965227,214.00365313086022,34135.09676484455,0.004602909088134766,0.39999999999999997
grid_small_4,linear,497.990375231816,229.0174083583163,117.4465158791203,0.004713773727416992,0.4
grid_small_4,quadratic,512.5678351435225,229.0174083583163,123.81173501953555,0.004942178726196289,0.4
grid_small_4,fuel,80597.19187126121,229.0174083583163,35092.60498536442,0.004908084869384766,0.4
random_small_0,linear,336.46965046014,185.75945805596535,81.13190788851725,0.07023906707763672,0.4
random_small_0,quadratic,340.29585844008795,185.75945805596535,83.1916727155632,0.06862282752990723,0.4
random_small_0,fuel,174593.06698278995,185.75945805596535,93888.79002445668,0.06690692901611328,0.4
random_small_1,linear,344.00413042987077,178.22601424921348,93.0156671454537,0.05383706092834473,0.4
random_small_1,quadratic,358.6473052621411,178.22601424921348,101.23173756253368,0.05653691291809082,0.4
random_small_1,fuel,156280.6663940809,178.22601424921348,87586.78750541637,0.05502009391784668,0.4
random_small_2,linear,352.29117863874296,202.83894007174248,73.68025020942252,0.07009720802307129,0.4
random_small_2,quadratic,355.5991381825905,202.83894007174248,75.31108082936045,0.0677330493927002,0.4
random_small_2,fuel,166037.85505794667,202.83894007174248,81756.99205449427,0.06874227523803711,0.4
random_small_3,linear,293.18705451267715,163.02336022914804,79.84358444125375,0.04417276382446289,0.4000000000000001
random_small_3,quadratic,300.25362078858404,163.02336022914804,84.17827995113285,0.0444941520690918,0.4000000000000001
random_small_3,fuel,103033.32981810896,163.02336022914804,63101.574101578946,0.04528307914733887,0.4000000000000001
random_small_4,linear,263.26047807884777,148.39116198922943,77.40980968796228,0.02783203125,0.4
random_small_4,quadratic,261.743059575131,148.39116198922943,76.3872295805116,0.02694559097290039,0.4
random_small_4,fuel,81882.49834263235,148.39116198922943,55080.17194890324,0.02822566032409668,0.4
