instance,method,cost,classical_cost,gap_percent,metadata
grid_small_0,hybrid,201.0830208768437,171.27758829430422,17.401828738576796,"{'method': 'hybrid_policy', 'num_odd_vertices': 10, 'matching_size': 5, 'matching_cost': 55.107745811248535}"
grid_small_1,hybrid,261.2243180450687,199.83054018578966,30.722920431581187,"{'method': 'hybrid_policy', 'num_odd_vertices': 10, 'matching_size': 5, 'matching_cost': 87.77350052362024}"
grid_small_2,hybrid,255.92047907766562,202.96894131132106,26.08849286212987,"{'method': 'hybrid_policy', 'num_odd_vertices': 10, 'matching_size': 5, 'matching_cost': 88.03921451351155}"
grid_small_3,hybrid,266.88633202513864,208.98597326402168,27.705380345296547,"{'method': 'hybrid_policy', 'num_odd_vertices': 10, 'matching_size': 5, 'matching_cost': 88.54995441608848}"
grid_small_4,hybrid,257.3981903650001,228.67024437484764,12.563045125827651,"{'method': 'hybrid_policy', 'num_odd_vertices': 10, 'matching_size': 5, 'matching_cost': 66.55035006640324}"
random_small_0,hybrid,223.90682515562335,183.78315190585576,21.832073742168287,"{'method': 'hybrid_policy', 'num_odd_vertices': 12, 'matching_size': 6, 'matching_cost': np.float64(69.10727677565222)}"
random_small_1,hybrid,177.15167516183925,168.81224582219886,4.9400618414992685,"{'method': 'hybrid_policy', 'num_odd_vertices': 12, 'matching_size': 6, 'matching_cost': np.float64(28.629996620828038)}"
random_small_2,hybrid,239.5421350487929,194.7856205960274,22.977319535094207,"{'method': 'hybrid_policy', 'num_odd_vertices': 18, 'matching_size': 9, 'matching_cost': np.float64(70.50968498900748)}"
random_small_3,hybrid,150.9069213988764,149.06904377707593,1.232903609785609,"{'method': 'hybrid_policy', 'num_odd_vertices': 8, 'matching_size': 4, 'matching_cost': np.float64(15.054121207919682)}"
random_small_4,hybrid,144.1658428704252,141.6804263954238,1.7542412443513538,"{'method': 'hybrid_policy', 'num_odd_vertices': 10, 'matching_size': 5, 'matching_cost': np.float64(20.50654121273398)}"
