instance,method,cost,time
grid_small_0,average_cost,153.4493704854847,0.0011126995086669922
grid_small_0,min_orientation,242.68743241259844,0.00019407272338867188
grid_small_1,average_cost,175.6355536531317,0.0009758472442626953
grid_small_1,min_orientation,283.0476960807704,0.00019502639770507812
grid_small_2,average_cost,175.51633217608722,0.0008950233459472656
grid_small_2,min_orientation,271.52772301577363,0.00018310546875
grid_small_3,average_cost,173.43850323964995,0.0008418560028076172
grid_small_3,min_orientation,260.9412428752114,0.00017595291137695312
grid_small_4,average_cost,201.69660399763708,0.0009007453918457031
grid_small_4,min_orientation,276.4752221398426,0.00015997886657714844
