instance_id,algorithm,variant,cost,tour_length,feasible,runtime_seconds,num_nodes,num_edges,network_family,size,gap_from_classical,gap_from_best_known,metadata
grid_medium_4,classical_cpp,classical,1012.647755378861,0,True,0.01183176040649414,56,97,from_data_dir,various,0.0,,{}
grid_medium_1,classical_cpp,classical,968.1671429132439,0,True,0.0103607177734375,56,97,from_data_dir,various,0.0,,{}
random_small_10,classical_cpp,classical,1420.4322651710836,0,True,0.001809835433959961,25,90,from_data_dir,various,0.0,,{}
random_medium_7,classical_cpp,classical,6388.412579797305,0,True,0.06205892562866211,60,408,from_data_dir,various,0.0,,{}
random_medium_6,classical_cpp,classical,7292.941255652842,0,True,0.05462312698364258,60,474,from_data_dir,various,0.0,,{}
random_small_11,classical_cpp,classical,1345.7496948018863,0,True,0.0011599063873291016,25,83,from_data_dir,various,0.0,,{}
grid_medium_0,classical_cpp,classical,1176.6051162977978,0,True,0.011097908020019531,56,97,from_data_dir,various,0.0,,{}
random_small_13,classical_cpp,classical,1326.758631398875,0,True,0.002913951873779297,25,83,from_data_dir,various,0.0,,{}
grid_medium_2,classical_cpp,classical,1116.2502464276226,0,True,0.009824037551879883,56,97,from_data_dir,various,0.0,,{}
random_medium_5,classical_cpp,classical,6749.650994595074,0,True,0.05372810363769531,60,429,from_data_dir,various,0.0,,{}
grid_medium_3,classical_cpp,classical,1127.9407240596659,0,True,0.010394811630249023,56,97,from_data_dir,various,0.0,,{}
random_small_12,classical_cpp,classical,1392.271566855953,0,True,0.004142045974731445,25,98,from_data_dir,various,0.0,,{}
random_small_9,classical_cpp,classical,1149.0972046916495,0,True,0.004169940948486328,25,78,from_data_dir,various,0.0,,{}
random_small_8,classical_cpp,classical,1233.6243907157746,0,True,0.0033028125762939453,25,89,from_data_dir,various,0.0,,{}
random_small_7,classical_cpp,classical,1358.1135507568633,0,True,0.003520965576171875,25,83,from_data_dir,various,0.0,,{}
clustered_medium_12,classical_cpp,classical,1100.3687199466858,0,True,0.016002178192138672,48,180,from_data_dir,various,0.0,,{}
random_medium_8,classical_cpp,classical,7326.378160874925,0,True,0.03615093231201172,60,450,from_data_dir,various,0.0,,{}
random_medium_9,classical_cpp,classical,6854.566606448106,0,True,0.03393673896789551,60,437,from_data_dir,various,0.0,,{}
grid_small_6,classical_cpp,classical,313.020308681925,0,True,0.001035928726196289,20,31,from_data_dir,various,0.0,,{}
grid_small_4,classical_cpp,classical,293.3803336190165,0,True,0.0010597705841064453,20,31,from_data_dir,various,0.0,,{}
grid_small_5,classical_cpp,classical,356.7910834414527,0,True,0.001049041748046875,20,31,from_data_dir,various,0.0,,{}
grid_small_1,classical_cpp,classical,358.7329723749438,0,True,0.0010287761688232422,20,31,from_data_dir,various,0.0,,{}
grid_small_0,classical_cpp,classical,317.7857906676397,0,True,0.0008556842803955078,20,31,from_data_dir,various,0.0,,{}
grid_small_2,classical_cpp,classical,376.032115697239,0,True,0.0010769367218017578,20,31,from_data_dir,various,0.0,,{}
grid_small_3,classical_cpp,classical,334.1498564397462,0,True,0.0009951591491699219,20,31,from_data_dir,various,0.0,,{}
grid_medium_4,greedy,greedy,1982.1840012420234,310,True,0.0008590221405029297,56,97,from_data_dir,various,95.74269440812918,,{}
grid_medium_1,greedy,greedy,1959.1153348507853,312,True,0.0008950233459472656,56,97,from_data_dir,various,102.35300786553742,,{}
random_small_10,greedy,greedy,2341.8739989164515,339,True,0.002330303192138672,25,90,from_data_dir,various,64.87051557044046,,{}
random_medium_7,greedy,greedy,6675.154365645146,1676,True,0.02659296989440918,60,408,from_data_dir,various,4.488466927678285,,{}
random_medium_6,greedy,greedy,7498.52061532006,1923,True,0.03428983688354492,60,474,from_data_dir,various,2.8188813327938234,,{}
